"Timestamp","According to you,
A Nano-Influencer(1K to 10K Followers), How much money spent on Fashion in a month? Fashion( Clothes, Shoes, Restaurants,  Salon(Skin Care, Hair Care))     ","According to you,
A Micro-Influencer(10K to 100K(1 Lac) Followers), How much money spent on Fashion in a month? Fashion( Clothes, Shoes, Restaurants,  Salon(Skin Care, Hair Care))","According to you,
A Macro-Influencer(100K(1 Lac) to 1 Million Followers), How much money spent on Fashion in a month? Fashion( Clothes, Shoes, Restaurants,  Salon(Skin Care, Hair Care))","According to you,
A Mega-Influencer(1 Million Followers to millions), How much money spent on Fashion in a month? Fashion( Clothes, Shoes, Restaurants,  Salon(Skin Care, Hair Care))"
"2025/01/16 1:56:13 pm GMT+5","7K to 15K","25K to 40K","45K to 60K","80K to 1.5 Lack"
"2025/01/16 1:58:19 pm GMT+5","7K to 15K","25K to 40K","45K to 60K","80K to 1.5 Lack"
"2025/01/16 2:54:52 pm GMT+5","7K to 15K","25K to 40K","45K to 60K","4 Lack to 6 Lack"
"2025/01/16 3:32:26 pm GMT+5","7K to 15K","25K to 40K","45K to 60K","4 Lack to 6 Lack"
"2025/01/16 3:57:01 pm GMT+5","15K to 25K","60K to 80K","1 lack to 1.5 Lack","4 Lack to 6 Lack"
"2025/01/16 4:00:37 pm GMT+5","7K to 15K","25K to 40K","45K to 60K","1.5 lack to 2.5 Lack"
"2025/01/16 4:53:20 pm GMT+5","35K to 45K","60K to 80K","1 lack to 1.5 Lack","2.5 lack to 4 Lack"
"2025/01/16 5:04:45 pm GMT+5","7K to 15K","25K to 40K","80K to 1Lack","2.5 lack to 4 Lack"
"2025/01/16 5:32:04 pm GMT+5","7K to 15K","25K to 40K","45K to 60K","80K to 1.5 Lack"
"2025/01/16 5:59:57 pm GMT+5","7K to 15K","25K to 40K","45K to 60K","80K to 1.5 Lack"
"2025/01/16 6:11:10 pm GMT+5","7K to 15K","25K to 40K","45K to 60K","80K to 1.5 Lack"
"2025/01/16 6:11:58 pm GMT+5","7K to 15K","25K to 40K","1 lack to 1.5 Lack","1.5 lack to 2.5 Lack"
"2025/01/16 6:16:55 pm GMT+5","35K to 45K","25K to 40K","80K to 1Lack","1.5 lack to 2.5 Lack"
"2025/01/16 6:42:42 pm GMT+5","25K to 35K","45K to 60K","80K to 1Lack","4 Lack to 6 Lack"
"2025/01/16 7:01:59 pm GMT+5","15K to 25K","60K to 80K","45K to 60K","80K to 1.5 Lack"
"2025/01/16 7:08:05 pm GMT+5","7K to 15K","25K to 40K","45K to 60K","1.5 lack to 2.5 Lack"
"2025/01/16 7:08:45 pm GMT+5","7K to 15K","45K to 60K","60K to 80K","2.5 lack to 4 Lack"
"2025/01/16 7:26:54 pm GMT+5","7K to 15K","25K to 40K","45K to 60K","1.5 lack to 2.5 Lack"
"2025/01/16 7:59:53 pm GMT+5","15K to 25K","","60K to 80K","1.5 lack to 2.5 Lack"
"2025/01/16 11:05:55 pm GMT+5","","25K to 40K","60K to 80K","2.5 lack to 4 Lack"
"2025/01/17 10:51:03 am GMT+5","7K to 15K","25K to 40K","45K to 60K","1.5 lack to 2.5 Lack"
"2025/01/17 10:52:01 am GMT+5","7K to 15K","25K to 40K","45K to 60K","1.5 lack to 2.5 Lack"
